offset 673a
size  43
 11  03 60 77 55 30 00 04 0C 0A 04 C8 78 00 1E 04 0A 01 1F 68 C8 1F 78 C8 1F 88 C8 01 38 A8 01 B8 A8 0B A8 B8 0B 48 B8 00 04 00 00 34 
 12  01 C0 53 00 00 00 06 1E 0A 04 C0 9C 01 1E 00 0A 01 01 10 58 0B 10 50 15 10 48 01 E0 58 0B E0 50 15 E0 48 00 00 00 00 08 00 00 47 
 13  05 58 92 00 00 00 07 0C 0A 04 58 5F 01 1E 07 0A 01 01 90 78 01 60 78 01 50 90 01 78 60 01 A0 90 01 D0 40 01 20 40 00 0E 00 00 4E 
 14  02 B0 66 00 00 20 05 0C 0A 04 58 B8 00 1E 02 0A 01 01 38 90 01 B0 60 01 80 A8 01 90 A0 01 98 98 01 A0 90 01 A8 80 00 00 00 00 02 
 15  01 B0 CB 19 50 20 00 0A 0A 04 B0 5F 00 1E 05 0A 01 01 78 58 01 B0 B0 01 48 B0 01 60 B0 01 98 B0 01 30 58 01 C0 58 00 0C 00 00 2C 
 16  05 88 AB AA 00 00 07 0C 0B 05 88 45 00 1E 04 0A 01 01 D0 C8 01 20 C8 01 10 A0 01 E0 A0 01 88 A8 01 68 A8 01 78 68 00 00 00 00 26 
 17  07 90 57 55 00 20 05 0A 0A 04 90 98 01 1E 07 0A 01 01 50 68 01 A0 68 01 78 50 01 90 50 01 60 50 01 48 50 01 A8 50 08 00 00 00 4E 
 18  00 C0 58 55 60 00 00 0C 0A 04 C0 99 00 1E 03 0A 01 01 60 48 01 90 48 33 A8 78 33 50 78 65 40 A8 65 B8 A8 00 00 00 00 06 00 00 66 
 19  05 C0 1C 00 00 00 07 0C 0A 04 C0 D5 01 1E 06 0A 01 01 28 58 01 40 58 01 58 58 01 78 58 01 98 58 01 B0 58 01 C8 58 08 00 00 00 70 
 20  01 B0 A3 00 00 20 30 0C 0A 04 B0 4D 00 1E 01 0A 01 01 C0 B0 01 30 B0 01 78 80 01 B0 98 01 40 98 00 00 00 00 00 00 00 0C 00 00 7E 
 21  03 B0 A3 4A 40 30 00 0C 0A 05 B0 4D 00 1E 03 0A 01 01 48 48 01 48 68 01 A8 68 01 A8 48 01 78 A0 01 78 78 01 78 58 00 00 00 00 23 
 22  02 78 13 00 00 00 40 0C 0A 05 78 DD 01 1E 02 0A 01 0A 38 78 14 60 78 1E 90 78 28 B8 78 01 18 40 01 D8 40 01 18 18 10 00 00 00 70 
 23  07 98 C3 55 00 00 50 28 0A 05 98 30 01 1E 07 0A 01 01 78 C8 15 58 B8 15 98 B8 29 B8 A8 29 38 A8 00 00 00 00 00 00 00 00 00 00 60 
 24  01 48 AB AA 00 00 70 32 0A 05 48 44 01 1E 01 0A 01 01 78 78 0B 68 78 0B 88 78 15 58 78 15 98 78 1F 48 78 1F A8 78 00 00 00 00 54 
 25  04 40 3B 5A 00 00 06 0C 0A 05 40 78 01 1E 00 0A 01 01 30 40 01 40 40 01 50 40 01 60 40 01 70 40 01 80 40 00 00 00 00 00 0C 00 40 
 26  03 78 B3 5A 00 70 00 0C 0A 05 78 3D 00 1E 03 0A 01 01 10 C8 01 78 C8 01 E0 C8 01 E0 B0 01 78 B0 01 10 B0 01 78 98 00 00 08 00 63 
 27  00 70 87 00 00 00 34 1E 0A 05 70 68 01 1E 00 0A 01 01 78 70 01 40 70 01 B0 70 01 98 70 01 58 70 01 28 70 01 C8 70 00 00 00 00 30 
 28  05 B0 97 5A 00 70 00 19 0A 05 B0 59 00 1E 07 0A 01 01 78 70 0B 78 78 15 78 80 1F 78 88 29 78 90 33 78 98 3D 78 A0 00 00 06 00 2A 
 29  02 90 BF 50 00 10 06 0C 0A 05 48 78 01 1E 02 0A 01 01 10 C8 01 68 98 01 50 50 01 A0 78 01 B0 A8 01 20 78 01 A0 40 00 00 0C 00 59 
 30  03 C0 1B 00 05 00 20 1E 0E 05 C0 D4 00 1E 03 0A 01 01 50 48 01 A0 48 29 30 98 29 78 98 29 C0 98 15 50 78 15 A0 78 0C 00 00 00 5C 
 31  00 80 BF AA 00 70 00 19 0A 06 80 40 01 1E 00 0A 01 01 70 A0 01 50 A0 01 90 A0 01 30 A0 01 B0 A0 01 10 A0 01 D0 A0 00 00 00 00 54 
 32  02 88 78 AA 00 00 70 28 0B 05 78 7A 01 1E 02 0A 01 01 78 88 01 70 78 01 70 68 01 70 58 01 80 58 01 80 68 01 80 78 00 00 00 00 70 
 33  05 C8 A1 00 70 00 00 0C 0B 05 C8 52 00 1E 04 0A 01 01 30 78 01 70 58 01 B0 38 01 90 38 01 50 58 01 A0 C8 01 50 C8 00 00 0C 00 00 
 34  05 B8 8F 5A 00 70 00 0C 0A 04 B8 61 00 1E 07 0A 01 01 20 90 01 D0 90 0B 60 68 0B 90 68 15 D0 40 15 20 40 29 78 A0 08 00 00 00 1A 
 35  07 80 13 5A 70 00 00 0A 0B 05 80 DC 00 1E 05 0A 01 01 48 80 01 A8 80 01 C0 80 01 30 80 01 B0 40 01 40 40 01 78 18 00 00 00 00 16 
 36  02 A8 74 AA 07 00 00 11 0B 06 88 75 00 1E 02 0A 01 01 78 A8 01 58 A0 01 98 A0 01 40 90 01 B0 90 01 30 78 01 C0 78 00 00 00 00 00 
 37  03 C0 34 6A 70 00 00 0F 0B 06 C0 CD 00 1E 03 0A 01 01 40 58 01 78 68 01 A8 78 01 90 C0 01 88 40 01 50 40 01 B8 40 00 00 0A 00 00 
 38  04 20 4F A0 07 00 00 0C 06 05 20 A5 00 1E 05 0A 01 01 78 20 01 60 20 01 48 20 01 30 20 01 90 20 01 A8 20 01 C0 20 00 00 0A 00 70 
 39  00 C8 6B 00 70 00 00 0C 0B 05 C8 84 00 1E 00 0A 01 01 28 18 01 C8 18 01 78 18 01 48 18 01 58 18 01 98 18 01 A8 18 00 00 10 00 1E 
 40  04 98 78 50 00 25 00 0E 0D 05 58 79 00 1E 04 0A 01 01 90 B8 01 60 B8 01 A8 B8 01 48 B8 01 78 98 01 20 98 01 D0 98 00 00 00 00 2A 
 41  02 48 33 AA 00 00 70 01 0A 05 48 BD 00 1E 02 0A 01 01 74 40 01 4C 60 01 9C 60 01 2C 78 01 BC 78 01 D4 60 01 14 60 00 00 0C 00 78 
 42  05 C0 1B AA 00 07 00 08 0B 06 C0 D0 01 1C 07 0A 01 01 78 A8 01 78 78 01 78 48 01 28 90 01 C8 90 01 A0 A8 01 50 A8 00 00 00 00 00 
 43  04 30 3B 22 01 22 02 14 0B 06 30 B2 00 1C 04 0A 01 01 78 18 01 18 60 01 D8 60 01 D0 48 01 20 48 01 E0 78 01 10 78 0C 00 00 00 53 
 44  05 58 48 AA 00 07 00 04 0B 06 58 A7 01 1C 03 0A 01 01 78 18 01 60 18 01 48 18 01 30 18 01 90 18 01 A8 18 01 C0 18 00 06 00 00 70 
 45  04 70 88 AA 70 00 00 1E 0B 06 70 68 00 14 02 0A 01 1F 78 18 15 88 18 15 68 18 0B 98 18 0B 58 18 01 A8 18 01 48 18 00 00 00 00 2A 
 46  04 40 98 AA 07 00 00 02 0B 05 40 58 00 1B 04 0A 01 01 78 68 06 78 70 0B 78 78 10 78 80 15 78 88 1A 78 90 1F 78 98 00 00 00 00 00 
 47  03 C0 77 00 04 03 00 0C 0B 06 B0 78 01 1B 01 0A 01 0B 28 A8 0B C8 A8 15 28 90 15 C8 90 01 28 C0 01 C8 C0 1F 78 38 00 00 0C 00 6A 
 48  01 C0 5F AA 00 24 00 0A 0A 06 C0 98 01 19 02 0A 01 01 A0 18 01 50 18 01 68 18 01 88 18 01 38 18 01 B8 18 01 30 18 00 00 00 00 69 
 49  03 70 A3 00 00 00 60 08 0B 06 70 4D 10 19 03 0A 01 01 58 50 01 40 50 01 58 78 01 98 78 01 98 50 01 B0 50 00 00 00 00 00 00 00 40 
 50  01 88 77 AA 00 70 00 0C 0D 06 60 79 11 19 05 0A 01 01 78 B0 0B 60 B0 0B 90 B0 15 48 B0 15 A8 B0 01 90 C0 01 60 C0 00 00 00 00 00 
 51  00 B8 77 AA 00 70 00 14 0D 06 78 78 10 17 00 0A 01 01 78 98 01 50 98 01 A0 98 01 78 B8 01 50 B8 01 A0 B8 01 78 C8 00 00 00 00 78 
 52  01 40 77 AA 00 70 00 05 0D 06 18 78 11 17 05 0A 01 01 D0 40 01 20 40 01 A8 68 01 40 68 01 30 90 01 B8 90 01 78 B8 00 00 00 00 1A 
 53  01 B8 A4 00 00 00 70 06 0D 06 B8 4D 10 17 05 0A 01 01 98 70 01 B0 70 01 C8 70 01 58 70 01 40 70 01 28 70 01 78 70 02 02 02 00 78 
 54  01 A8 A7 AA 00 52 00 10 0B 06 A8 48 10 17 05 0A 01 01 50 80 01 A0 80 0B 78 68 15 28 58 1F 38 58 1F C0 58 29 D0 58 00 00 00 00 2E 
 55  05 68 77 00 40 30 00 05 0D 04 40 78 00 17 04 0A 01 01 68 B8 01 78 90 01 88 68 01 98 40 01 C0 B8 01 20 90 01 E0 68 00 00 00 00 23 
 56  03 B0 2F 00 11 11 12 08 0D 05 B0 C0 00 08 01 05 01 01 78 B8 01 60 B8 01 48 B8 01 30 B8 01 90 B8 01 A8 B8 01 C0 B8 00 00 00 00 70 
 57  05 60 77 55 00 70 00 09 0D 05 A8 78 11 16 03 0A 01 01 78 A8 01 50 A8 01 A0 A8 01 A8 90 01 88 90 01 68 90 01 48 90 00 00 00 00 1C 
 58  02 B8 98 88 40 30 00 09 0D 04 B8 B8 00 16 02 0A 01 01 A0 90 01 80 90 01 60 90 01 C0 90 01 D8 B8 01 B8 B8 01 98 B8 00 00 00 00 00 
 59  03 B0 4B 00 20 11 21 14 0D 1E B0 A4 00 16 04 0A 01 01 30 B0 01 C0 B0 01 A8 B0 01 48 B0 01 60 B0 01 90 B0 01 78 B0 00 00 00 00 26 
 60  06 C8 31 00 40 00 00 08 1A 06 C8 C0 01 16 06 0A 01 01 E0 C8 01 C8 C8 01 B0 C8 01 98 C8 01 90 A8 01 60 A8 01 78 C0 00 00 00 00 70 
 61  04 A8 78 55 70 00 00 08 0E 06 58 78 01 1E 04 0A 01 01 78 A8 01 40 A8 01 B0 A8 01 C8 90 01 28 90 01 90 78 01 60 78 00 00 00 00 00 
 62  02 C0 28 15 30 40 00 09 0D 06 C0 C9 11 16 02 0A 01 01 68 C0 01 88 C0 01 78 90 01 28 C0 01 C8 C0 01 A8 C0 01 48 C0 0C 00 00 00 4F 
 63  03 A8 BF 5A 70 00 00 07 0C 01 A8 30 11 28 03 14 01 01 78 A8 01 68 A8 01 88 A8 01 58 A8 01 98 A8 01 A8 A8 01 48 A8 00 00 00 00 00 
 64  02 48 9B 99 60 00 00 08 0D 06 48 60 01 16 03 0A 01 01 A8 48 15 A8 58 29 A8 68 3D A8 78 51 A8 88 65 A8 98 01 A8 A8 00 0C 00 00 40 
 65  01 C8 68 55 20 32 00 05 0D 06 C8 89 11 14 00 0A 01 01 78 18 01 78 28 01 58 90 01 98 90 01 98 78 01 58 78 01 78 38 01 01 01 00 1E 
 66  06 60 81 00 00 03 40 04 0D 06 60 70 01 14 06 0A 01 01 78 40 01 68 40 01 88 40 01 C0 B8 01 30 B8 0B 30 40 0B C8 40 00 00 0C 00 33 
 67  06 58 6B 55 32 20 00 01 14 06 58 80 01 14 01 0A 01 0B 58 80 01 98 80 01 B0 80 01 40 80 01 28 80 01 C8 80 01 78 80 06 00 06 00 09 
 68  06 C8 77 00 10 24 00 02 0E 06 78 79 11 14 01 0A 01 01 48 B8 01 A8 B8 01 38 68 01 B8 68 01 78 C8 01 B0 90 01 40 90 04 04 04 00 45 
 69  00 60 DB AA 04 30 00 06 0F 06 60 17 01 14 00 0A 01 0B 68 68 0B 88 68 0B 48 68 0B A8 68 01 78 68 15 58 68 15 98 68 00 00 00 00 4A 
 70  04 50 33 55 07 00 00 02 06 04 50 BD 00 14 07 0A 01 01 78 50 0B 90 50 0B 60 50 15 48 50 15 A8 50 1F C0 50 1F 30 50 00 00 0C 00 00 
 71  05 78 C8 50 23 00 20 11 10 05 78 28 00 14 05 0A 01 01 D8 50 01 18 50 01 60 50 01 78 50 01 90 50 01 60 78 01 90 78 00 00 00 00 51 
 72  01 58 77 AA 05 00 20 04 0D 06 28 78 01 28 02 14 01 01 78 90 05 78 88 0B 78 80 10 78 78 15 78 70 01 30 68 01 C0 68 00 00 00 00 20 
 73  04 C0 9C 04 02 03 20 06 0F 06 C0 55 10 14 05 0A 01 01 60 90 01 60 58 01 C0 28 01 70 C0 01 C0 C0 01 40 68 01 A0 68 08 08 00 00 23 
 74  04 98 53 AA 00 70 00 1E 10 03 98 A0 01 1E 07 0A 01 01 38 68 01 B8 68 0B A0 70 0B 50 70 01 88 68 01 68 68 0B 78 70 00 00 00 00 16 
 75  04 68 B3 AA 00 70 00 08 0C 06 68 3A 11 1E 04 14 01 01 78 90 06 60 90 06 90 90 10 48 90 10 A8 90 01 D8 90 01 18 90 00 00 00 00 54 
 76  04 A0 A0 00 51 10 00 0D 0D 08 A0 52 01 1E 00 14 01 01 28 88 01 C8 88 01 78 88 01 68 B8 01 88 B8 01 48 A0 01 A8 A0 00 00 00 00 01 
 77  01 78 4B 00 20 00 32 04 0E 06 78 A0 01 1E 03 0A 01 01 78 B0 0B 60 98 0B 90 98 15 48 80 15 A8 80 01 30 68 01 C0 68 04 04 04 00 0C 
 78  05 70 77 55 70 00 00 04 0F 06 58 79 01 12 06 28 01 01 78 C0 01 68 B8 01 88 B8 01 90 B0 01 60 B0 01 50 90 01 A0 90 0A 02 02 00 00 
 79  04 B0 A0 AA 00 00 07 04 0B 06 B0 50 01 28 05 0A 01 01 78 B0 0B 50 B0 0B A0 B0 15 28 B0 15 C8 B0 1F A0 90 1F 50 90 00 00 00 00 00 
 80  05 C8 8B 00 70 00 00 03 0F 06 C8 68 10 1E 06 14 01 01 78 B8 0B 78 B8 15 78 B8 1F 78 B8 29 78 B8 33 78 B8 3D 78 B8 04 04 04 00 00 
 81  04 70 33 AA 00 07 00 05 0D 0A 70 B4 01 28 00 14 01 01 30 C8 01 C0 C8 01 10 78 11 E0 78 21 78 C8 21 D8 60 21 18 60 00 00 00 00 45 
 82  04 C0 A0 5A 10 60 00 02 10 06 C0 52 11 1E 04 0A 01 01 78 C0 01 B0 78 01 40 78 01 40 60 01 B0 60 01 B0 48 01 40 48 00 00 0A 00 4D 
 83  03 90 83 00 10 60 00 01 0E 0A 90 6C 11 28 01 14 01 01 78 90 01 50 B8 01 A0 B8 01 38 A8 01 B8 A8 01 E0 78 01 10 78 00 00 00 00 4D 
 84  04 C8 51 00 70 00 00 05 0C 05 C8 A0 01 28 07 14 01 01 A0 C8 01 50 C8 01 C0 B8 01 30 B8 01 40 98 01 B0 98 01 78 88 00 00 00 00 7F 
 85  05 18 4B AA 70 00 00 1E 0A 06 18 A8 01 1E 06 0A 01 01 78 60 0B 68 60 0B 88 60 1F 58 60 1F 98 60 29 A8 60 29 48 60 00 00 00 00 00 
 86  04 58 1E AA 00 00 07 0C 0F 08 58 D0 11 1E 04 0A 01 01 78 80 0B 78 80 15 78 80 1F 78 80 29 78 80 33 78 80 3D 78 80 00 00 00 00 00 
 87  04 90 BB 00 00 00 70 07 16 06 90 30 01 1E 06 14 01 01 78 80 0B 78 80 15 78 80 1F 78 80 29 78 80 33 78 80 3D 78 80 04 04 04 00 00 
 88  00 A8 8B 00 70 00 00 01 08 0A A8 66 10 28 00 14 01 01 78 C8 01 60 C8 01 48 C8 01 30 C8 01 90 C8 01 A8 C8 01 C0 C8 00 00 0A 00 0F 
 89  01 B8 A0 00 00 07 00 14 0A 06 B8 51 11 1E 01 0A 01 01 C0 C8 01 A8 C8 01 90 C8 01 60 C8 01 48 C8 01 30 C8 01 78 C8 00 00 0C 00 78 
 90  05 C8 B3 5A 00 06 00 0C 0D 04 C8 3D 10 1E 05 0A 01 01 30 60 01 C0 60 01 E0 58 01 10 58 01 30 50 01 C0 50 00 00 00 00 00 0C 00 6A 
 91  01 58 C3 AA 00 00 70 03 15 1E 58 2C 10 1E 01 14 01 01 78 60 01 58 60 01 98 60 0B 38 60 0B B8 60 01 D8 60 01 18 60 00 00 00 00 66 
 92  06 78 42 AA 70 00 00 32 0A 07 78 AF 00 32 06 0A 01 01 78 48 01 68 48 01 88 48 01 98 40 01 58 40 01 60 18 01 90 18 00 00 00 00 00 
 93  01 18 47 AA 00 00 70 14 0E 06 18 A0 00 1E 01 0A 01 01 50 20 01 50 40 01 78 30 01 A0 20 01 A0 40 01 28 30 01 C8 30 0B 01 00 00 00 
 94  06 C0 C8 48 70 00 00 23 0E 06 C8 79 00 28 06 14 01 01 40 28 01 58 28 01 78 28 01 98 28 01 B0 28 01 78 40 01 C8 88 08 00 00 00 00 
 95  01 90 DB 00 30 40 00 0C 10 06 90 14 11 28 03 14 01 01 78 C0 01 38 C0 01 B8 C0 01 28 C0 01 C8 C0 01 A0 C0 01 50 C0 00 00 00 00 4F 
 96  03 98 43 00 70 00 00 01 1E 06 98 AD 11 1E 05 14 01 01 78 70 01 28 70 01 C8 70 01 D8 70 01 18 70 01 38 58 01 B8 58 00 00 00 00 00 
 97  02 C0 BB 19 20 22 01 19 0C 05 C0 38 10 70 02 28 01 01 60 88 01 50 50 01 40 C0 01 B0 C0 01 70 C0 01 A0 C0 01 88 C0 0A 06 00 00 68 
 98  04 98 46 AA 00 70 00 02 1E 1E 98 A8 11 1E 04 0A 01 01 78 68 01 78 58 01 78 48 01 88 58 01 68 58 01 20 48 01 D0 48 00 00 00 00 00 
 99  04 68 5F 5A 00 20 14 01 1E 06 68 90 11 28 06 14 01 01 68 50 01 40 30 01 28 30 01 B0 30 01 C8 30 01 60 68 01 90 68 00 00 0C 00 59 
100  04 90 33 AA 00 20 22 23 0E 05 90 30 01 28 05 A4 01 01 18 A0 3C 18 A0 01 58 A0 3C 58 A0 01 98 A0 3C 98 A0 01 D8 A0 02 02 02 02 00 
101  05 B8 B3 AA 40 00 00 40 08 04 40 3D 00 32 05 32 01 01 A8 60 FF 98 60 FF A8 60 FF B8 60 00 00 00 00 00 00 00 00 00 00 00 00 00 70 
102  05 90 53 AA 30 00 00 1E 0A 04 90 A0 00 2D 00 0A 01 01 78 90 15 78 90 29 78 90 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 78 


screen data  0cfc - 7fbc a78-08.37
